"","word","gender","cnt"
"36474","Zeit","f",1002305
"35541","Unternehmen","n",683968
"2390","Arbeit","f",683540
"11829","Entwicklung","f",618054
"6101","Beispiel","n",585967
"5729","Bedeutung","f",554856
"33228","Teil","n",550879
"33229","Teil","m",550879
"6547","Berlin","n",541701
"16420","Gesellschaft","f",510357
"16273","Geschichte","f",502907
"13721","Fall","n",490789
"13722","Fall","m",490789
"11307","Ende","n",450535
"31","Abbildung","f",448901
"2989","Art","f",443424
"31031","Seite","f",413556
"6440","Bereich","m",400570
"20584","Kapitel","n",393252
"37576","Zusammenhang","m",383928
"27864","München","n",360749
"7670","Bild","n",348998
"36926","Ziel","n",343702
"5934","Begriff","m",333671
"27405","Möglichkeit","f",319485
"32551","System","n",296158
"1296","Analyse","f",294611
"32156","Situation","f",292390
"26998","Mitarbeiter","m",272654
"23688","Kosten","n",267859
"24877","Mann","m",265197
"13798","Familie","f",265065
"3505","Aufgabe","f",260657
"32705","Tag","m",258943
"32706","Tag","n",258943
"30199","Schule","f",258813
"32654","Tabelle","f",258159
"33825","Thema","n",257704
"24789","Management","n",253412
"33873","Theorie","f",249194
"21390","Kind","n",247532
"28124","Mutter","f",247471
"9795","Ebene","f",243080
"26049","Mensch","m",240672
"26050","Mensch","n",240672
"14646","Funktion","f",238536
"21550","Kirche","f",233289
"7516","Bezug","m",228123
"12322","Ergebnis","n",225707
"22555","Kommunikation","f",223170
"35263","Universität","f",222653
"7796","Bildung","f",222290
"30202","Schüler","m",220515
"27344","Modell","n",219322
"10253","Einfluss","m",218724
"19274","Interesse","n",211745
"35737","Untersuchung","f",211280
"2150","Anwendung","f",209931
"37427","Zukunft","f",209811
"11720","Entscheidung","f",207826
"13112","Europa","f",207435
"13113","Europa","n",207435
"2185","Anzahl","f",206565
"31828","Sicht","f",203644
"32062","Sinn","m",203395
"28648","Namen","m",201604
"33681","Text","m",201354
"28849","Natur","f",201178
"19333","Internet","n",200625
"1448","Anfang","m",200118
"471","Abschnitt","m",196433
"5280","Basis","f",195424
"10279","Einführung","f",194929
"7478","Beziehung","f",194401
"24443","Kritik","f",191538
"3962","Ausdruck","f",190365
"3963","Ausdruck","m",190365
"5898","Beginn","m",189730
"5031","Band","m",188087
"5032","Band","f",188087
"5033","Band","n",188087
"10529","Einsatz","m",186492
"7246","Bevölkerung","f",183618
"13734","Fällen","n",183178
"36205","Zahl","f",179556
"12256","Erfolg","m",176474
"15373","Gedanken","m",175186
"27962","Musik","f",174962
"1969","Anteil","m",174838
"26358","Methode","f",172911
"23308","Konzept","n",172030
"3","A","n",171135
"23141","Kontext","m",170654
"23541","Körper","m",170276
"35727","Unterstützung","f",170157
"30046","Schritt","m",168899
"23397","Kopf","m",168839
"24226","Krieg","m",168573
"27140","Mittel","n",168526
"12222","Erfahrung","f",168385
"23806","Kraft","f",164580
"1923","Anspruch","m",164205
"3019","Artikel","m",163472
"19196","Integration","f",163318
"36568","Zeitpunkt","m",163198
"16463","Gesetz","n",162696
"8751","Diskussion","f",162459
"7319","Bewegung","f",160674
"25128","Markt","f",157729
"25129","Markt","m",157729
"1589","Angst","f",157721
"31736","Sicherheit","f",157573
"1861","Ansatz","m",157481
"20664","Karl","m",156147
"17583","Haus","n",154181
"3573","Auflage","f",152352
"18748","Information","f",152343
"6115","Beitrag","m",149917
"13101","Euro","m",149490
"13102","Euro","f",149490
"37553","Zusammenarbeit","f",149377
"33957","Thomas","m",147066
"25907","Meinung","f",146433
"18263","Identität","f",146266
"24652","Mai","m",144433
"21742","Klasse","f",144162
"33029","Tätigkeit","f",143856
"23223","Kontrolle","f",143352
"10347","Einheit","f",143151
"16737","Gewalt","f",141294
"19751","Journal","n",138572
"953","Alter","m",138080
"954","Alter","n",138080
"7408","Bewertung","f",137783
"5976","Behandlung","f",137649
"31542","September","m",137392
"3854","August","m",137373
"27134","Mitte","f",136963
"19929","Juni","m",136858
"24726","Mal","n",135766
"35698","Unterschied","m",134993
"18242","Idee","f",134698
"2115","Antwort","f",133829
"34750","Umgang","m",133692
"34884","Umsetzung","f",133591
"25287","März","m",132838
"3893","Ausbildung","f",130758
"22526","Kommission","f",129902
"2391","Arbeiten","n",127872
"36427","Zeichen","n",127368
"18892","Inhalt","m",127302
"20304","Kampf","m",126808
"13732","Falle","f",126627
"15238","Gebiet","n",125726
"16583","Gestaltung","f",125511
"9410","Druck","m",125381
"2343","April","m",124532
"15518","Gemeinschaft","f",122908
"26426","Michael","m",121701
"2392","Arbeiter","m",121252
"19894","Juli","m",121207
"35233","Union","f",120924
"33047","Tatsache","f",120802
"10254","Einfluß","m",120637
"36584","Zeitschrift","f",120320
"3419","Aufbau","m",120126
"30400","Schutz","m",118868
"12439","Erklärung","f",117454
"34669","Uhr","f",117199
"22405","Köln","n",116487
"37661","Zustand","m",115506
"24665","Main","m",114877
"24666","Main","f",114877
